File Name, Data Type, StatAlign Model
hemopexin.faa,Amino-Acids,Wag
hip.faa,Amino-Acids,Wag
histone.faa,Amino-Acids,CpRev
hla.faa,Amino-Acids,Wag
hom.faa,Amino-Acids,Vt
hormone_rec.faa,Amino-Acids,Vt
hpr.faa,Amino-Acids,Wag
hr.faa,Amino-Acids,Jones
icd.faa,Amino-Acids,Wag
igC1.faa,Amino-Acids,Jones
igI.faa,Amino-Acids,Vt
igV.faa,Amino-Acids,Vt
igcon.faa,Amino-Acids,Wag
igvar-h.faa,Amino-Acids,Wag
igvar-l.faa,Amino-Acids,Wag
il8.faa,Amino-Acids,Wag
ins.faa,Amino-Acids,Dayhoff
int.faa,Amino-Acids,Vt
intb.faa,Amino-Acids,Jones
kazal.faa,Amino-Acids,Dayhoff
kinase.faa,Amino-Acids,Vt
kringle.faa,Amino-Acids,Wag
kunitz.faa,Amino-Acids,Wag
laminin_G.faa,Amino-Acids,Blosum
ldh.faa,Amino-Acids,Wag
lipase.faa,Amino-Acids,Wag
lipocalin.faa,Amino-Acids,Vt
ltn.faa,Amino-Acids,Wag
lyase_1.faa,Amino-Acids,Vt
mmp.faa,Amino-Acids,CpRev
mofe.faa,Amino-Acids,Wag
molybdopterin.faa,Amino-Acids,Wag
msb.faa,Amino-Acids,Wag
myb_DNA-binding.faa,Amino-Acids,RtREV
mycin.faa,Amino-Acids,Wag
ndk.faa,Amino-Acids,Wag
ngf.faa,Amino-Acids,Wag
oat.faa,Amino-Acids,Blosum
oxidored_q6.faa,Amino-Acids,Wag
p450.faa,Amino-Acids,Vt
parv.faa,Amino-Acids,Wag
pdc.faa,Amino-Acids,Wag
pec_lyase.faa,Amino-Acids,Wag
peroxidase.faa,Amino-Acids,Wag
pgk.faa,Amino-Acids,Wag
phc.faa,Amino-Acids,Wag
phoslip.faa,Amino-Acids,Wag
plantltp.faa,Amino-Acids,Dayhoff
porin.faa,Amino-Acids,Wag
pot.faa,Amino-Acids,Wag
ppase.faa,Amino-Acids,Vt
profilin.faa,Amino-Acids,Wag
proteasome.faa,Amino-Acids,Wag
protg.faa,Amino-Acids,Wag
reductases.faa,Amino-Acids,Wag
rep.faa,Amino-Acids,Vt
response_reg.faa,Amino-Acids,Blosum
rhv.faa,Amino-Acids,Wag
ricin.faa,Amino-Acids,Vt
rnasemam.faa,Amino-Acids,Wag
rrm.faa,Amino-Acids,Vt
rub.faa,Amino-Acids,Wag
rvp.faa,Amino-Acids,RtREV
scorptoxin.faa,Amino-Acids,Wag
sdr.faa,Amino-Acids,Blosum
seatoxin.faa,Amino-Acids,Dayhoff
serbact.faa,Amino-Acids,Wag
sermam.faa,Amino-Acids,Wag
serpin.faa,Amino-Acids,Wag
sh2.faa,Amino-Acids,Wag
sh3.faa,Amino-Acids,RtREV
slectin.faa,Amino-Acids,Wag
sodcu.faa,Amino-Acids,Wag
sodfe.faa,Amino-Acids,Wag
squash.faa,Amino-Acids,Dayhoff
sti.faa,Amino-Acids,Wag
subt.faa,Amino-Acids,Wag
sugbp.faa,Amino-Acids,Wag
tRNA-synt_2b.faa,Amino-Acids,Vt
tbpc.faa,Amino-Acids,Vt
tgfb.faa,Amino-Acids,Wag
thiored.faa,Amino-Acids,Wag
tim.faa,Amino-Acids,Wag
tln.faa,Amino-Acids,Wag
tms.faa,Amino-Acids,Blosum
toxin.faa,Amino-Acids,Wag
toxin_2.faa,Amino-Acids,Blosum
trfl.faa,Amino-Acids,Wag
uce.faa,Amino-Acids,RtREV
xia.faa,Amino-Acids,Wag
zf-CCHH.faa,Amino-Acids,Wag
